Name	Def	LevelId	Populate	Logicals	Outdoors	Animate	KillEdge	FillBlanks	SizeX	SizeY	AutoMap	Scan	Pops	PopPad	Files	File1	File2	File3	File4	File5	File6	Dt1Mask	Beta
None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Act 1 - Town 1	1	1	1	0	1	0	0	1	0	0	1	1	0	0	0	Act1/Town/TownN1.ds1	Act1/Town/TownE1.ds1	Act1/Town/TownS1.ds1	Act1/Town/TownW1.ds1	0	0	959	1
Act 1 - Town 1 Transition E	2	0	1	0	1	0	1	1	8	40	0	0	0	0	0	0	Act1/Town/TownETrans.ds1	0	0	0	0	16765	1
Act 1 - Town 1 Transition S	3	0	1	0	1	0	1	1	56	8	0	0	0	0	0	0	Act1/Town/TownSTrans.ds1	Act1/Town/TownSTrans2.ds1	0	0	0	8405373	1
Act 1 - Wild Border 1	4	0	0	0	1	0	1	1	8	8	0	0	0	0	3	Act1/Outdoors/Bord1.ds1	Act1/Outdoors/Bord1b.ds1	Act1/Outdoors/Bord1c.ds1	Act1/Outdoors/Bord1o.ds1	Act1/Outdoors/Bord1oe.ds1	0	16405	1
Act 1 - Wild Border 2	5	0	1	0	1	0	1	1	8	8	0	0	0	0	3	Act1/Outdoors/Bord2.ds1	Act1/Outdoors/Bord2b.ds1	Act1/Outdoors/Bord2c.ds1	Act1/Outdoors/Bord2o.ds1	Act1/Outdoors/Bord2oe.ds1	0	16405	1
Act 1 - Wild Border 3	6	0	1	0	1	0	1	1	8	8	0	0	0	0	3	Act1/Outdoors/Bord3.ds1	Act1/Outdoors/Bord3b.ds1	Act1/Outdoors/Bord3c.ds1	Act1/Outdoors/Bord3o.ds1	Act1/Outdoors/Bord3oe.ds1	0	16405	1
Act 1 - Wild Border 4	7	0	0	0	1	0	1	1	8	8	0	0	0	0	3	Act1/Outdoors/Bord4.ds1	Act1/Outdoors/Bord4b.ds1	Act1/Outdoors/Bord4c.ds1	Act1/Outdoors/Bord4o.ds1	Act1/Outdoors/Bord4oe.ds1	0	16405	1
Act 1 - Wild Border 5	8	0	0	0	1	0	1	1	8	8	0	0	0	0	1	Act1/Outdoors/Bord5.ds1	0	0	0	0	0	16405	1
Act 1 - Wild Border 6	9	0	1	0	1	0	1	1	8	8	0	0	0	0	1	Act1/Outdoors/Bord6.ds1	0	0	0	0	0	16405	1
Act 1 - Wild Border 7	10	0	0	0	1	0	1	1	8	8	0	0	0	0	1	Act1/Outdoors/Bord7.ds1	0	0	0	0	0	16405	1
Act 1 - Wild Border 8	11	0	0	0	1	0	1	1	8	8	0	0	0	0	1	Act1/Outdoors/Bord8.ds1	0	0	0	0	0	16405	1
Act 1 - Wild Border 9	12	0	1	0	1	0	1	1	8	8	0	0	0	0	1	Act1/Outdoors/Bord9.ds1	0	0	0	0	0	16405	1
Act 1 - Wild Border 10	13	0	1	0	1	0	1	1	8	8	0	0	0	0	1	Act1/Outdoors/Bord10.ds1	0	0	0	0	0	16405	1
Act 1 - Wild Border 11	14	0	1	0	1	0	1	1	8	8	0	0	0	0	1	Act1/Outdoors/Bord11.ds1	0	0	0	0	0	16405	1
Act 1 - Wild Border 12	15	0	0	0	1	0	1	1	8	8	0	0	0	0	1	Act1/Outdoors/Bord12.ds1	0	0	0	0	0	16405	1
Act 1 - Wild Cliff Border 2	16	0	0	0	1	0	1	1	8	8	0	0	0	0	1	Act1/Outdoors/StnClf2.ds1	0	0	0	0	0	1025	1
Act 1 - Wild Cliff Border 3	17	0	0	0	1	0	1	1	8	8	0	0	0	0	1	Act1/Outdoors/StnClf3.ds1	0	0	0	0	0	513	1
Act 1 - Wild Cliff Border 5	18	0	0	0	1	0	1	1	8	8	0	0	0	0	1	Act1/Outdoors/StnClf5.ds1	0	0	0	0	0	1029	1
Act 1 - Wild Cliff Border 6A	19	0	0	0	1	0	1	1	8	8	0	0	0	0	1	Act1/Outdoors/StnClf6a.ds1	0	0	0	0	0	5633	1
Act 1 - Wild Cliff Border 6B	20	0	0	0	1	0	1	1	8	8	0	0	0	0	1	Act1/Outdoors/StnClf6b.ds1	0	0	0	0	0	1029	1
Act 1 - Wild Cliff Border 6C	21	0	0	0	1	0	1	1	8	8	0	0	0	0	1	Act1/Outdoors/StnClf6c.ds1	0	0	0	0	0	517	1
Act 1 - Wild Cliff Border 7	22	0	0	0	1	0	1	1	8	8	0	0	0	0	1	Act1/Outdoors/StnClf7.ds1	0	0	0	0	0	517	1
Act 1 - Wild Cliff Border 10	23	0	0	0	1	0	1	1	8	8	0	0	0	0	1	Act1/Outdoors/StnClf10.ds1	0	0	0	0	0	5633	1
Act 1 - Wild Cliff Cave Right	24	0	0	0	1	0	1	1	8	8	0	1	0	0	1	Act1/Caves/clfcave2.ds1	0	0	0	0	0	513	1
Act 1 - Wild Cliff Cave Left	25	0	0	0	1	0	1	1	8	8	0	1	0	0	1	Act1/Caves/clfcave.ds1	0	0	0	0	0	1025	1
Act 1 - River Upper	26	0	0	0	1	0	1	1	8	8	0	0	0	0	0	Act1/Outdoors/URiverC.ds1	Act1/Outdoors/URiverN.ds1	Act1/Outdoors/URiverS.ds1	Act1/Outdoors/URiver.ds1	0	0	53	1
Act 1 - River Lower	27	0	0	0	1	0	1	1	8	8	0	0	0	0	0	Act1/Outdoors/LRiverC.ds1	Act1/Outdoors/LRiverN.ds1	Act1/Outdoors/LRiverS.ds1	Act1/Outdoors/LRiver.ds1	0	0	53	1
Act 1 - Bridge	28	0	1	0	1	0	1	1	8	8	0	0	0	0	0	0	Act1/Outdoors/BridgeU.ds1	Act1/Outdoors/BridgeL.ds1	Act1/Outdoors/BridgeS.ds1	0	0	101	1
Act 1 - Stone Fill 1	29	0	1	0	1	0	1	1	8	8	0	0	0	0	3	Act1/Outdoors/Circle.ds1	Act1/Outdoors/XRock.ds1	Act1/Outdoors/6Rock.ds1	0	0	0	278529	1
Act 1 - Stone Fill 2	30	0	1	0	1	0	1	1	8	8	0	0	0	0	3	Act1/Outdoors/Clover.ds1	Act1/Outdoors/Arrow.ds1	Act1/Outdoors/4Rock.ds1	0	0	0	278529	1
Act 1 - Corral Fill	31	0	1	0	1	0	1	1	8	8	0	0	0	0	2	Act1/Outdoors/Corral1.ds1	Act1/Outdoors/Corral2.ds1	0	0	0	0	262153	1
Act 1 - Fence Fill 1	32	0	1	0	1	0	1	1	16	16	0	0	0	0	2	Act1/Outdoors/Wild1.ds1	Act1/Outdoors/Wild2.ds1	0	0	0	0	16405	1
Act 1 - Fence Fill 2	33	0	1	0	1	0	1	1	8	16	0	0	0	0	2	Act1/Outdoors/Wild8.ds1	Act1/Outdoors/Wild9.ds1	0	0	0	0	16405	1
Act 1 - Fence Fill 3	34	0	1	0	1	0	1	1	16	16	0	0	0	0	2	Act1/Outdoors/Wild3.ds1	Act1/Outdoors/Wild4.ds1	0	0	0	0	16409	1
Act 1 - Fence Fill 4	35	0	1	0	1	0	1	1	8	8	0	0	0	0	1	Act1/Outdoors/Wild5.ds1	0	0	0	0	0	16409	1
Act 1 - Fence Fill 5	36	0	1	0	1	0	1	1	16	8	0	0	0	0	1	Act1/Outdoors/Wild6.ds1	0	0	0	0	0	16409	1
Act 1 - Fence Fill 6	37	0	1	0	1	0	1	1	8	16	0	0	0	0	1	Act1/Outdoors/Wild7.ds1	0	0	0	0	0	16409	1
Act 1 - Swamp Fill 1	38	0	1	0	1	0	1	1	8	8	0	0	0	0	1	Act1/Outdoors/Swamp3.ds1	Act1/Outdoors/Swamp4.ds1	0	0	0	0	4194305	1
Act 1 - Swamp Fill 2	39	0	1	0	1	0	1	1	16	16	0	0	0	0	1	Act1/Outdoors/Swamp5.ds1	0	0	0	0	0	4194305	1
Act 1 - Tree Fill	40	0	1	0	1	0	1	1	16	16	0	0	0	0	1	Act1/Outdoors/Trees2.ds1	Act1/Outdoors/Trees3.ds1	0	0	0	0	3	1
Act 1 - Ruin	41	0	1	0	1	0	1	1	16	16	0	0	0	0	1	Act1/Outdoors/Ruin2.ds1	0	0	0	0	0	286991	1
Act 1 - Fallen Camp 1	42	0	1	0	1	0	1	1	8	8	0	0	0	0	4	Act1/Outdoors/FallCmp.ds1	Act1/Outdoors/FallCmp2.ds1	Act1/Outdoors/FallCmp3.ds1	Act1/Outdoors/FallCmp4.ds1	0	0	344323	1
Act 1 - Fallen Camp 2	43	0	1	0	1	0	1	1	8	8	0	0	0	0	4	Act1/Outdoors/FallCmp5.ds1	Act1/Outdoors/FallCmp6.ds1	Act1/Outdoors/FallCmp7.ds1	Act1/Outdoors/FallCmp8.ds1	0	0	344323	1
Act 1 - Fallen Camp Bishibosh	44	0	1	0	1	0	1	1	8	8	0	0	0	0	1	Act1/Outdoors/FallCmpBish.ds1	0	0	0	0	0	344323	1
Act 1 - Camp	45	0	1	0	1	0	1	1	8	8	0	0	0	0	1	Act1/Outdoors/Camp.ds1	0	0	0	0	0	278787	1
Act 1 - Pond	46	0	1	0	1	0	1	1	8	8	0	0	0	0	1	Act1/Outdoors/Pond1.ds1	0	0	0	0	0	410371	1
Act 1 - Cottages 1	47	0	1	1	1	0	1	1	8	8	0	0	2	-4	6	Act1/Outdoors/Cott1.ds1	Act1/Outdoors/Cott2.ds1	Act1/Outdoors/Cott3.ds1	Act1/Outdoors/Cott4.ds1	Act1/Outdoors/Cott5.ds1	Act1/Outdoors/Cott6.ds1	16777217	1
Act 1 - Cottages 2	48	0	1	1	1	0	1	1	8	8	0	0	2	-4	6	Act1/Outdoors/Cott1A.ds1	Act1/Outdoors/Cott2A.ds1	Act1/Outdoors/Cott3A.ds1	Act1/Outdoors/Cott4A.ds1	Act1/Outdoors/Cott5A.ds1	Act1/Outdoors/Cott6A.ds1	16777217	1
Act 1 - Cottages 3	49	0	1	1	1	0	1	1	8	8	0	0	2	-4	1	Act1/Outdoors/Cott7.ds1	0	0	0	0	0	16777217	1
Act 1 - Bivouac	50	0	1	1	1	0	1	1	16	16	0	0	0	0	1	Act1/Outdoors/Bivouac.ds1	0	0	0	0	0	41943297	1
Act 1 - Cave Entrance	51	0	1	0	1	0	1	1	8	8	0	1	0	0	2	Act1/Caves/CaveDr1.ds1	Act1/Caves/CaveDr2.ds1	0	0	0	0	1048835	1
Act 1 - DOE Entrance	52	0	1	0	1	0	1	1	8	8	0	1	0	0	2	Act1/Caves/DenEnt.ds1	Act1/Caves/DenEnt2.ds1	0	0	0	0	1048835	1
Act 1 - Cave W	53	0	1	0	0	0	1	1	24	24	0	0	0	0	2	Act1/Caves/CaveW.ds1	Act1/Caves/CaveW2.ds1	0	0	0	0	1	1
