Name	Id	File 1	File 2	File 3	File 4	File 5	File 6	File 7	File 8	File 9	File 10	File 11	File 12	File 13	File 14	File 15	File 16	File 17	File 18	File 19	File 20	File 21	File 22	File 23	File 24	File 25	File 26	File 27	File 28	File 29	File 30	File 31	File 32	Beta	Act
None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Act 1 - Town	1	Act1/Town/Floor.dt1	Act1/Town/Objects.dt1	Act1/Town/Fence.dt1	Act1/Outdoors/River.dt1	Act1/Outdoors/stonewall.dt1	Act1/Town/trees.dt1	0	Act1/Outdoors/Objects.dt1	Act1/Outdoors/TreeGroups.dt1	Act1/Outdoors/Bridge.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Act 1 - Wilderness	2	Act1/Town/Floor.dt1	Act1/Town/Trees.dt1	Act1/Outdoors/stonewall.dt1	Act1/Outdoors/Fence.dt1	Act1/Outdoors/TreeGroups.dt1	Act1/Outdoors/River.dt1	Act1/Outdoors/Bridge.dt1	Act1/Outdoors/Cairn.dt1	Act1/Outdoors/Objects.dt1	Act1/Outdoors/Cliff2.dt1	Act1/Outdoors/Cliff1.dt1	Act1/Graveyard/graveyrd.dt1	Act1/Outdoors/Corner.dt1	Act1/Outdoors/Ruin.dt1	Act1/Outdoors/Stones.dt1	Act1/Outdoors/Tower.dt1	Act1/Outdoors/Fallen.dt1	Act1/Outdoors/pond.dt1	Act1/Outdoors/puddle.dt1	Act1/Outdoors/TowerB.dt1	Act1/Caves/Cavedr.dt1	Act1/Outdoors/tome.dt1	Act1/Outdoors/Swamp.dt1	Act1/Town/Fence.dt1	Act1/Outdoors/Cottages.dt1	Act1/Town/Objects.dt1	0	0	0	0	0	0	1	1
Act 1 - Cave	3	Act1/Caves/Cave.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Act 1 - Crypt	4	Act1/Crypt/Basewall.dt1	Act1/Crypt/Floor.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Act 1 - Monestary	5	Act1/Court/Floor.dt1	Act1/Town/Floor.dt1	Act1/Outdoors/River.dt1	Act1/Court/Archwall.dt1	Act1/Court/Outwall.dt1	Act1/Monastry/Facade.dt1	Act1/Outdoors/stonewall.dt1	Act1/Town/trees.dt1	Act1/Outdoors/TreeGroups.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Courtyard	6	Act1/Court/Floor.dt1	Act1/Court/Archwall.dt1	Act1/Court/Outwall.dt1	Act1/Barracks/floor.dt1	Act1/Court/Plants2.dt1	Act1/Court/Pboxwall.dt1	Act1/Barracks/basewall.dt1	Act1/Barracks/barset.dt1	Act1/Barracks/exitdn.dt1	Act1/Barracks/objects.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Barracks	7	Act1/Barracks/basewall.dt1	Act1/Barracks/barset.dt1	Act1/Barracks/exitdn.dt1	Act1/Barracks/floor.dt1	Act1/Court/Outwall.dt1	Act1/Barracks/Torture.dt1	Act1/Barracks/objects.dt1	Act1/Court/Floor.dt1	Act1/Barracks/stairup.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Jail	8	Act1/Barracks/basewall.dt1	Act1/Barracks/barset.dt1	Act1/Barracks/exitdn.dt1	Act1/Barracks/floor.dt1	0	Act1/Barracks/Torture.dt1	Act1/Barracks/objects.dt1	0	Act1/Barracks/stairup.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Cathedral	9	Act1/Cathedrl/Alter.dt1	Act1/Cathedrl/Coffers.dt1	Act1/Cathedrl/Stained.dt1	Act1/Barracks/floor.dt1	Act1/Cathedrl/column.dt1	Act1/Court/Outwall.dt1	Act1/Court/Floor.dt1	Act1/Cathedrl/Frescoes.dt1	Act1/Cathedrl/rugs.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Catacombs	10	Act1/Catacomb/Basewalls.dt1	Act1/Catacomb/Cathstr.dt1	Act1/Catacomb/Dwnstr.dt1	Act1/Catacomb/Upstr.dt1	Act1/Catacomb/floor.dt1	Act1/Catacomb/andariel.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Tristram	11	Act1/Town/Floor.dt1	Act1/Tristram/town.dt1	Act1/Outdoors/stonewall.dt1	Act1/Outdoors/River.dt1	Act1/Outdoors/Objects.dt1	Act1/Outdoors/TreeGroups.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 2 - Town	12	Act2/Town/Ground.dt1	Act2/Town/Walls.dt1	Act2/Town/Build.dt1	Act2/Town/Canal.dt1	Act2/Town/Curbs.dt1	Act2/Town/Gate.dt1	Act2/Town/Guard.dt1	Act2/Town/Shop.dt1	Act2/Town/Tavern.dt1	Act2/Town/Wagon.dt1	Act2/Palace/Palace.dt1	Act2/Outdoors/Palm.dt1	Act2/Outdoors/Mesa.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Act 2 - Sewer	13	Act2/Sewer/Walls.dt1	Act2/Sewer/Chamb.dt1	Act2/Sewer/Items.dt1	Act2/Sewer/Radament.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Act 2 - Harem	14	Act2/Palace/Harem.dt1	Act2/Palace/HaremFlr.dt1	Act2/Palace/HaremEnt.dt1	Act2/Palace/HaremStair.dt1	Act2/Palace/Sub-Har.dt1	Act2/Palace/Sub-HarFlr.dt1	Act2/Palace/InvisWal.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Act 2 - Basement	15	Act2/Palace/Cellar.dt1	Act2/Palace/CellFlr.dt1	0	0	0	0	Act2/Palace/InvisWal.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Act 2 - Desert	16	Act2/Town/Ground.dt1	Act2/Outdoors/Rocks.dt1	Act2/Outdoors/Dune.dt1	Act2/BigCliff/CliffRight.dt1	Act2/BigCliff/CliffLeft.dt1	Act2/BigCliff/CliffMesa.dt1	Act2/Outdoors/Head.dt1	Act2/Outdoors/Bone.dt1	Act2/Outdoors/Mesa.dt1	Act2/BigCliff/Stairs.dt1	Act2/Outdoors/SmCliff.dt1	Act2/BigCliff/TalTombR.dt1	Act2/Town/Curbs.dt1	Act2/BigCliff/TalTombL.dt1	Act2/Outdoors/Oasis.dt1	Act2/BigCliff/TombCor.dt1	Act2/Ruin/Ground.dt1	Act2/BigCliff/Corner.dt1	Act2/Outdoors/Palm.dt1	Act2/Outdoors/Prickly.dt1	Act2/Outdoors/Scrub.dt1	Act2/Maggot/Entrance.dt1	Act2/Maggot/Hole.dt1	Act2/Outdoors/Wagon.dt1	Act2/Ruin/Column.dt1	Act2/Outdoors/Village.dt1	Act2/Outdoors/TombEnt.dt1	Act2/Outdoors/Viper.dt1	Act2/Tomb/Tomb.dt1	0	0	0	0	2
Act 2 - Tomb	17	Act2/Tomb/Tomb.dt1	Act2/Tomb/Columns.dt1	Act2/Tomb/Things.dt1	Act2/Tomb/Statuerm.dt1	Act2/Tomb/Treasure.dt1	Act2/Tomb/Stairs.dt1	Act2/Tomb/Duriel.dt1	Act2/Tomb/Tombsteps.dt1	Act2/Tomb/Secret.dt1	Act2/Tomb/Talrasha.dt1	Act2/Tomb/Serpent.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Act 2 - Lair	18	Act2/Maggot/Floor.dt1	Act2/Maggot/Den.dt1	Act2/Maggot/Entrance.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Act 2 - Arcane	19	Act2/Arcane/Sanctuary.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
