Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
of Health	0	1	1	7		5					1	red-dmg		1	1											tors	helm	shld	ring	amul								0	0	0
of Protection	0	1	1	18		13					1	red-dmg		2	2											ring	amul											0	0	0
of Absorption	0	1	1	26		19					1	red-dmg		3	3											amul												0	0	0
of Life	0	1	1	35		26					1	red-dmg		4	4									1	dblu	amul												0	0	0
		1																																				0	0	0
of Warding	0	1	1	7		5					2	red-mag		1	1											tors	helm	shld	ring	amul								0	0	0
of the Sentinel	0	1	1	18		13					2	red-mag		2	2											ring	amul											0	0	0
of Guarding	0	1	1	26		19					2	red-mag		3	3											amul												0	0	0
of Negation	0	1	1	35		26					2	red-mag		4	4											amul												0	0	0
																																						0	0	0
of Piercing	0	1	1	25		18					3	ignore-ac		1	1											rod												0	0	0
of Bashing	0	1	1	16		12					4	dmg-ac		-25	-40											mele							wand	staf				0	0	0
of Puncturing	0	1	1	6		4					4	dmg-ac		-10	-20											mele							wand	staf				0	0	0
of Thorns	0	1	1	14		10					5	thorns		1	3											tors	helm	shld	belt									0	0	0
of Spikes	0	1	1	21		15					5	thorns		2	6									1	oran	tors	helm	shld	belt									0	0	0
of Readiness	0	1	1	1		1					6	swing1		10	10											weap	glov											0	0	0
of Alacrity	0	1	1	8		6					6	swing2		20	20											weap												0	0	0
of Swiftness	0	1	1	19		14					6	swing2		30	30											mele							wand	staf				0	0	0
of Quickness	0	1	1	25		18					6	swing3		40	40									1	dyel	mele							wand	staf				0	0	0
of Blocking	0	1	1	1		1					7	block		10	10											shld												0	0	0
of Deflecting	0	1	1	11		8					7	block		20	20											shld												0	0	0
of the Apprentice	0	1	1	5		3					8	cast1		10	10											rod	ring	amul										0	0	0
of the Magus	0	1	1	17		12					8	cast3		20	20											rod												0	0	0
of Frost	0	1	1	4		3					9	cold-min		1	1	cold-max		1	4	cold-len		125	125			weap												0	0	0
of the Glacier	0	1	1	18		13					9	cold-min		4	4	cold-max		4	12	cold-len		150	150			mele												0	0	0
of Frost	0	1	1	55		41					9	cold-min		1	1	cold-max		1	4	cold-len		125	125			belt	amul											0	0	0
of Warmth	0	1	1	10		7					10	half-freeze		1	1											shld	boot	glov	ring	amul								0	0	0
of Flame	0	1	1	4		3					11	fire-min		1	1	fire-max		2	6							weap												0	0	0
of Fire	0	1	1	15		11					11	fire-min		2	2	fire-max		6	11							weap												0	0	0
of Burning	0	1	1	25		18					11	fire-min		10	10	fire-max		10	20					1	dred	weap												0	0	0
of Flame	0	1	1	40		30					11	fire-min		1	1	fire-max		2	6							glov	ring	amul										0	0	0
of Shock	0	1	1	4		3					12	ltng-min		1	1	ltng-max		8	8							weap												0	0	0
of Lightning	0	1	1	15		11					12	ltng-min		1	1	ltng-max		16	16							weap												0	0	0
of Thunder	0	1	1	25		18					12	ltng-min		1	1	ltng-max		32	32					1	dyel	weap												0	0	0
of Shock	0	1	1	50		37					12	ltng-min		1	1	ltng-max		8	8							boot	ring	amul	weap				miss	rod				0	0	0
of Craftsmanship	0	1	1	1		1					13	dmg-max		1	2											weap	ring	amul										0	0	0
of Quality	0	1	1	4		3					13	dmg-max		2	2											weap												0	0	0
of Maiming	0	1	1	7		5					13	dmg-max		3	4											weap												0	0	0
of Slaying	0	1	1	11		8					13	dmg-max		5	7											weap												0	0	0
of Gore	0	1	1	14		10					13	dmg-max		8	10											weap												0	0	0
of Carnage	0	1	1	19		14					13	dmg-max		11	14									1	blac	weap							wand	staf				0	0	0
of Slaughter	0	1	1	25		18					13	dmg-max		15	20									1	blac	weap							wand	staf				0	0	0
of Maiming	0	1	1	42		31					13	dmg-max		3	4											shld	ring	amul										0	0	0
of Worth	0	1	1	2		1					14	dmg-min		1	1											weap							rod					0	0	0
of Measure	0	1	1	6		4					14	dmg-min		2	2											weap												0	0	0
of Excellence	0	1	1	12		9					14	dmg-min		3	3											weap	ring	amul										0	0	0
of Performance	0	1	1	18		13					14	dmg-min		4	5									1	blac	weap												0	0	0
of Measure	0	1	1	37		27					14	dmg-min		2	2											tors	helm	ring	amul									0	0	0
of Blight	0	1	1	5		3					15	pois-min		8	8	pois-max		24	24	pois-len		75	75			weap							scep					0	0	0
of Venom	0	1	1	15		11					15	pois-min		16	16	pois-max		48	48	pois-len		75	75			weap							scep					0	0	0
of Pestilence	0	1	1	25		18					15	pois-min		32	32	pois-max		72	72	pois-len		100	100	1	dgrn	weap							scep					0	0	0
of Blight	0	1	1	45		33					15	pois-min		8	8	pois-max		24	24	pois-len		75	75			ring	amul											0	0	0
of Dexterity	0	1	1	4		3					16	dex		1	1											ring	amul											0	0	0
of Dexterity	0	1	1	5		3					16	dex		1	3											scep	miss	boot	glov	ring	amul							0	0	0
of Skill	0	1	1	10		7					16	dex		4	6											scep	miss	boot	glov	ring	amul							0	0	0
of Skill	0	1	1	45		33					16	dex		4	6											armo							boot	glov				0	0	0
of Accuracy	0	1	1	18		13					16	dex		7	10											scep	miss	boot	glov	ring	amul							0	0	0
of Precision	0	1	1	22		16					16	dex		11	15											scep	miss	amul										0	0	0
of Precision	0	1	1	60		45					16	dex		11	15											armo	ring											0	0	0
of Perfection	0	1	1	30		22					16	dex		16	20									1	dgld	miss	glov	amul										0	0	0
of Balance	0	1	1	5		3					17	balance1		10	10											armo							glov					0	0	0
of Stability	0	1	1	9		6					17	balance3		20	20									1	dyel	armo							glov					0	0	0
																																						0	0	0
