Missile	Id	pCltDoFunc	pCltHitFunc	pSrvDoFunc	pSrvHitFunc	pSrvDmgFunc	SrvCalc1	*srv calc 1 desc	Param1	*param1 desc	Param2	*param2 desc	Param3	*param3 desc	Param4	*param4 desc	Param5	*param5 desc	CltCalc1	*client calc 1 desc	CltParam1	*client param1 desc	CltParam2	*client param2 desc	CltParam3	*client param3 desc	CltParam4	*client param4 desc	CltParam5	*client param5 desc	SHitCalc1	*server hit calc 1 desc	sHitPar1	*server hit param1 desc	sHitPar2	*server hit param2 desc	sHitPar3	*server hit param3 desc	CHitCalc1	*client hit calc1 desc	cHitPar1	*client hit param1 desc	cHitPar2	*client hit param2 desc	cHitPar3	*client hit param3 desc	DmgCalc1	*damage calc 1	dParam1	*damage param1 desc	dParam2	*damage param2 desc	Vel	MaxVel	VelLev	Accel	Range	LevRange	Light	Flicker	Red	Green	Blue	InitSteps	Activate	LoopAnim	CelFile	animrate	AnimLen	AnimSpeed	RandStart	SubLoop	SubStart	SubStop	CollideType	CollideKill	CollideFriend	LastCollide	Collision	ClientCol	ClientSend	NextHit	NextDelay	xoffset	yoffset	zoffset	Size	SrcTown	CltSrcTown	CanDestroy	ToHit	AlwaysExplode	Explosion	Town	NoUniqueMod	NoMultiShot	Holy	CanSlow	ReturnFire	GetHit	SoftHit	KnockBack	Trans	Qty	Pierce	SpecialSetup	MissileSkill	Skill	ResultFlags	HitFlags	HitShift	ApplyMastery	SrcDamage	Half2HSrc	SrcMissDmg	MinDamage	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDamage	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	MinELev1	MinELev2	MinELev3	MinELev4	MinELev5	Emax	MaxELev1	MaxELev2	MaxELev3	MaxELev4	MaxELev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	HitClass	NumDirections	LocalBlood	DamageRate	TravelSound	HitSound	ProgSound	ProgOverlay	ExplosionMissile	SubMissile1	SubMissile2	SubMissile3	HitSubMissile1	HitSubMissile2	HitSubMissile3	HitSubMissile4	CltSubMissile1	CltSubMissile2	CltSubMissile3	CltHitSubMissile1	CltHitSubMissile2	CltHitSubMissile3	CltHitSubMissile4	EOL
arrow	0	1		1																																																	24	24			40				255	255	255	1	0	0	Arrow	1024	1	16					3	1		1		1							1				1							1	1	1				1	1				4		8		128																																		10	32			weapon_bow_1																			0
javelin	1	1		1																																																	24	24			40				255	255	255	0	0	0	Javelin	1024	1	16					3	1		1		1							1				1							1	1	1				1	1				4		8		128																																		6	32			weapon_throw_1																			0
bighead1	2	1		1																																																	8	8			40		5		143	143	255	3	0	1	BigheadLightningMissile	1024	3	16					3	1		1		1							1											1	1	1			1						4		8		128																ltng																			1			monster_fireball	sorceress_firebolt_impact_1			bigheadexp															0
bighead2	3	1		1																																																	12	12			40		5		143	143	255	3	0	1	BigheadLightningMissile	1024	3	16					3	1		1		1							1											1	1	1			1						4		8		128																ltng																			1			monster_fireball	sorceress_firebolt_impact_1			bigheadexp															0
bighead3	4	1		1																																																	14	14			40		5		143	143	255	3	0	1	BigheadLightningMissile	1024	3	16					3	1		1		1							1											1	1	1			1						4		8		128																ltng																			1			monster_fireball	sorceress_firebolt_impact_1			bigheadexp															0
bighead4	5	1		1																																																	10	10			40		5		143	143	255	3	0	1	BigheadLightningMissile	1024	3	16					3	1		1		1							1											1	1	1			1						4		8		128																ltng																			1			monster_fireball	sorceress_firebolt_impact_1			bigheadexp															0
bighead5	6	1		1																																																	16	16			40		5		143	143	255	3	0	1	BigheadLightningMissile	1024	3	16					3	1		1		1							1											1	1	1			1						4		8		128																ltng																			1			monster_fireball	sorceress_firebolt_impact_1			bigheadexp															0
spike1	7	1		1																																																	10	10	8		40				255	255	255	1	0	1	SpikeFiendMissle	1024	2	16					3	1		1		1							1				1							1	1	1									4		8		128			1	3	3	3	3	3	2	3	3	3	3	3																				10	32																						0
spike2	8	1		1																																																	13	13	7		40				255	255	255	1	0	1	SpikeFiendMissle	1024	2	16					3	1		1		1							1				1							1	1	1									4		8		128			1	3	3	3	3	3	3	3	3	3	3	3																				10	32																						0
spike3	9	1		1																																																	16	16	6		40				255	255	255	1	0	1	SpikeFiendMissle	1024	2	16					3	1		1		1							1				1							1	1	1									4		8		128			1	3	3	3	3	3	4	3	3	3	3	3																				10	32																						0
spike4	10	1		1																																																	20	20	4		40				255	255	255	1	0	1	SpikeFiendMissle	1024	2	16					3	1		1		1							1				1							1	1	1									4		8		128			1	4	4	4	4	4	4	4	4	4	4	4																				10	32																						0
spike5	11	1		1																																																	24	24			40				255	255	255	1	0	1	SpikeFiendMissle	1024	2	16					3	1		1		1							1				1							1	1	1									4		8		128			2	5	5	5	5	5	7	5	5	5	5	5																				10	32																						0
firearrow	12	1		1		1																																									dl12	convert to elemental%	3	base conversion	2	conversion/lvl	24	24			40		5		255	178	64	1	0	1	FireArrow	1024	8	16					3	1		1		1							1				1							1	1	1			1	1	1		1	Fire Arrow	4																				fire																			32			amazon_firearrow_1	sorceress_firebolt_impact_1			fireexplode															0
cr_arrow1	13	1		1																																																	14	14			40				255	255	255	1	0	1	Arrow	1024	1	16					3	1		1		1							1				1							1	1	1					1				4		8		128																																		10	32			weapon_bow_1																			0
cr_arrow2	14	1		1																																																	16	16			40				255	255	255	1	0	1	Arrow	1024	1	16					3	1		1		1							1				1							1	1	1					1				4		8		128																																		10	32			weapon_bow_1																			0
cr_arrow3	15	1		1																																																	18	18			40				255	255	255	1	0	1	Arrow	1024	1	16					3	1		1		1							1				1							1	1	1					1				4		8		128																																		10	32			weapon_bow_1																			0
cr_arrow4	16	1		1																																																	20	20			40				255	255	255	1	0	1	Arrow	1024	1	16					3	1		1		1							1				1							1	1	1					1				4		8		128																																		10	32			weapon_bow_1																			0
cr_arrow5	17	1		1																																																	24	24			40				255	255	255	1	0	1	Arrow	1024	1	16					3	1		1		1							1				1							1	1	1					1				4		8		128																																		10	32			weapon_bow_1																			0
blood1	18	2																																																			3	3			128				255	255	255	0	0	0	BloodSmall01	1024	9	16						1		1									1						1			1															8																																					8	1																					0
blood2	19	2																																																			4	4			128				255	255	255	0	0	0	BloodSmall02	1024	9	16						1		1									1						1			1															8																																					8	1																					0
bigblood1	20	2																																																			3	3			128				255	255	255	0	0	0	BloodLarge01	1024	9	16						1		1									1						1			1															8																																					8	1																					0
bigblood2	21	2																																																			4	4			128				255	255	255	0	0	0	BloodLarge02	1024	9	16						1		1									1						1			1															8																																					8	1																					0
shafire1	22	1		1																																																	8	8			40		5		255	178	64	1	0	1	ShamanFireball	1024	3	16					3	1		1		1							1											1	1	1			1		1				4		8																		fire	1	10	10	10	10	10	4	10	10	10	10	10							16			monster_fireball	sorceress_firebolt_impact_1			shamanexp															0
shafire2	23	1		1																																																	10	10			40		5		255	178	64	1	0	1	ShamanFireball	1024	3	16					3	1		1		1							1											1	1	1			1		1				4		8																		fire	2	10	10	10	10	10	6	10	10	10	10	10							16			monster_fireball	sorceress_firebolt_impact_1			shamanexp															0
shafire3	24	1		1																																																	12	12			40		5		255	178	64	1	0	1	ShamanFireball	1024	3	16					3	1		1		1							1											1	1	1			1		1				4		8																		fire	2	10	10	10	10	10	7	10	10	10	10	10							16			monster_fireball	sorceress_firebolt_impact_1			shamanexp															0
shafire4	25	1		1																																																	16	16			40		5		255	178	64	1	0	1	ShamanFireball	1024	3	16					3	1		1		1							1											1	1	1			1		1				4		8																		fire	2	10	10	10	10	10	8	10	10	10	10	10							16			monster_fireball	sorceress_firebolt_impact_1			shamanexp															0
shafire5	26	1		1																																																	20	20			40		5		255	178	64	1	0	1	ShamanFireball	1024	3	16					3	1		1		1							1											1	1	1			1		1				4		8																		fire	8	5	5	5	5	5	14	5	5	5	5	5							16			monster_fireball	sorceress_firebolt_impact_1			shamanexp															0
magicarrow	27	1		1		1																																									dl12	convert to elemental%	1	base conversion	1	conversion/lvl	24	24			40		3		255	255	255	1	0	1	SafeArrow	1024	1	16					3	1		1		1							1				1							1	1	1			1		1			Magic Arrow	4																				mag																		10	32			amazon_magicarrow_1				teethexplode															0
icearrow	28	1		1		2																																											100	convert cold len to freeze			24	24			40		5		81	81	255	1	0	1	IceArrow	1024	8	16					3	1		1		1							1				1							1	1	1			1	1	1			Ice Arrow	4																																							32			amazon_coldarrow_1	impact_cold_1			iceexplode															0
fireexplode	29	1																																																							12		13		255	178	64	0	0	0	FireArrowExplode2	1024	12	16	5					1		1									1						1			1				1			1						4		8																																					1																						0
iceexplode	30	1																																																							16		11		81	81	255	0	0	0	IceArrowExplode	1024	16	16						1		1									1						1			1				1			1						4		8																																					1																						0
bolt	31	1		1																																																	24	24			50				255	255	255	1	0	0	XBowBolt	1024	1	16					3	1		1		1							1				1							1	1	1					1				4		8		128																																		10	32			weapon_xbow_1																			0
andarielspray	32	1		1					193		103																																										15	15			40				255	255	255	3	0	1	AndarielSpell	1024	24	16					3	1		1		1							1											1	1	1			1		1				4							1792	1280	1280	1280	1280	1280	2560	1280	1280	1280	1280	1280		pois	32	32	32	32	32	32	64	32	32	32	32	32		400	10	10	10		1			andariel_cast_large																			0
bigheadexp	33	1																																																							6		8		143	143	255	0	0	0	BigheadLightningExplosion	1024	7	16						1		1									1						1			1				1			1						4		8																																					1																						0
shamanexp	34	1																																																							11		8		255	178	64	0	0	0	ShamanFireballExplodeFinal	1024	12	16						1		1									1						1			1				1			1						4		8																																					1																						0
throwaxe	35	1		1																																																	24	24			20				255	255	255	1	0	1	MissileHandAxe	1024	8	16					3	1		1		1							1				1							1	1	1					1				4		8		128																																		2	32			weapon_throw_1																			0
throwknife	36	1		1																																																	24	24			20				255	255	255	1	0	0	MissileDagger	1024	1	16					3	1		1		1							1				1							1	1	1					1				4		8		128																																		6	32			weapon_throw_1																			0
glaive	37	1		1																																																	24	24			40				255	255	255	0	0	0	Glaive	1024	1	16					3	1		1		1							1				1							1	1	1					1				4		8		128																																		6	32			weapon_throw_1																			0
poisonjav	38	3		2			0	#subloops											0	#subloops																																	24	24			25				128	255	128	0	0	0	Javelin	1024	1	16					3	1		1		1							1				1							1	1	1				1	1			Poison Javelin	4																																						6	32			weapon_throw_1					poisonjavcloud							poisonjavcloud							0
poisonjavcloud	39	4		3					2	"Slow drift speed, fourths."	4	"Fast drift speed, fourths."									24	spawn rate	1	number	6	radius																															60				128	255	128	0	0	1	PoisonSparks	1024	31	16		1	10	19	3			1		1	1						2											1					1					Poison Javelin					-1																																		6	8			object_poison_loop												poisonpuff							0
coldarrow	40	1		1		1																																									dl12	convert to elemental%	3	base conversion	2	conversion/lvl	24	24			20		5		81	81	255	1	0	1	IceArrow	1024	8	16					3	1		1		1							1				1							1	1	1			1	1	1		1	Cold Arrow	4																				cold																			32			amazon_coldarrow_1	impact_cold_1			iceexplode															0
explodingarrow	41	1	1	1	4																																				3	explosions radius	1	explosions density									24	24			40		5		255	178	64	1	0	1	FireArrow	1024	8	16					3	1		1		1							1				1	1						1	1	1			1	1	1								128																fire																			32			amazon_firearrow_1				explodingarrowexp				explodingarrowexp2							fireexplosion2				0
explodingarrowexp	42	1																																																							16		15		255	178	64	0	0	0	ExpArrowExplode	1024	16	16						1		1									1						1			1				1			1						4																																							1			explosion_medium_1																			0
