Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	6	92	147	6	108	173	8	108	216	8	108	216	7	107	830	7	107	1107	2	3	4	2	3	4	30	78	117	30	78	117
2	12	102	162	12	120	190	12	126	254	12	126	254	9	113	852	9	113	1136	3	4	6	3	4	6	40	104	156	40	104	156
3	18	112	177	18	132	208	18	144	292	18	144	292	12	120	875	12	120	1167	3	4	6	3	4	6	50	131	197	50	131	197
4	24	122	192	24	144	226	26	162	330	26	162	330	15	125	897	15	125	1196	4	5	7	4	5	7	60	156	234	60	156	234
5	30	133	207	30	156	243	35	180	368	35	180	368	17	132	920	17	132	1227	4	5	7	4	5	7	70	182	273	70	182	273
6	36	143	222	36	168	261	45	198	406	45	198	406	20	139	942	20	139	1256	5	7	9	5	7	9	80	207	311	80	207	311
7	42	153	236	42	180	278	56	216	444	56	216	444	23	145	965	23	145	1287	5	7	9	5	7	9	90	234	351	90	234	351
8	48	163	252	48	192	296	67	234	482	67	234	482	27	152	987	27	152	1316	6	8	11	6	8	11	100	260	390	100	260	390
9	54	173	267	54	204	314	78	252	520	78	252	520	31	157	1010	31	157	1347	7	9	13	7	9	13	110	285	428	110	285	428
10	60	184	281	60	216	331	89	270	558	89	270	558	35	164	1032	35	164	1376	7	9	13	7	9	13	120	312	468	120	312	468
11	66	194	297	66	228	349	100	288	596	100	288	596	36	171	1055	36	171	1407	8	11	15	8	11	15	130	338	507	130	338	507
12	72	204	311	72	240	366	111	306	634	111	306	634	40	177	1077	40	177	1436	8	11	15	8	11	15	140	363	545	140	363	545
13	78	214	326	78	252	384	122	324	672	122	324	672	44	184	1100	44	184	1467	9	12	17	9	12	17	154	401	602	154	401	602
14	84	224	342	84	264	402	133	342	710	133	342	710	48	189	1122	48	189	1496	10	13	19	10	13	19	169	440	660	169	440	660
15	90	235	356	90	276	419	144	360	748	144	360	748	52	196	1145	52	196	1527	10	13	19	10	13	19	186	482	723	186	482	723
16	96	245	371	96	288	437	155	378	786	155	378	786	56	203	1167	56	203	1556	11	15	20	11	15	20	205	533	800	205	533	800
17	102	255	386	102	300	454	166	396	824	166	396	824	60	209	1190	60	209	1587	11	15	20	11	15	20	225	584	876	225	584	876
18	108	265	401	108	312	472	177	414	862	177	414	862	64	216	1212	64	216	1616	12	16	22	12	16	22	248	644	966	248	644	966
19	114	275	417	114	324	490	188	432	900	188	432	900	68	221	1235	68	221	1647	13	17	24	13	17	24	273	708	1062	273	708	1062
20	120	286	431	120	336	507	199	450	938	199	450	938	73	228	1257	73	228	1676	13	17	24	13	17	24	300	779	1169	300	779	1169
21	126	296	446	126	348	525	210	468	976	210	468	976	78	236	1280	78	236	1707	14	19	26	14	19	26	330	857	1286	330	857	1286
22	132	306	461	132	360	542	221	486	1014	221	486	1014	84	243	1302	84	243	1736	14	19	26	14	19	26	363	942	1413	363	942	1413
23	138	316	476	138	372	560	232	504	1052	232	504	1052	89	248	1325	89	248	1767	15	20	28	15	20	28	399	1035	1553	399	1035	1553
24	144	326	491	144	384	578	243	522	1090	243	522	1090	94	255	1347	94	255	1796	16	21	30	16	21	30	439	1139	1709	439	1139	1709
25	150	337	506	150	396	595	254	540	1128	254	540	1128	100	261	1370	100	261	1827	16	21	30	16	21	30	470	1220	1830	470	1220	1830
26	156	347	521	156	408	613	265	558	1166	265	558	1166	106	268	1392	106	268	1856	17	23	31	17	23	31	503	1305	1958	503	1305	1958
27	162	357	536	162	420	630	276	576	1204	276	576	1204	113	275	1415	113	275	1887	17	23	31	17	23	31	538	1397	2096	538	1397	2096
28	168	367	551	168	432	648	287	594	1242	287	594	1242	120	280	1437	120	280	1916	18	24	33	18	24	33	576	1494	2241	576	1494	2241
29	174	377	566	174	444	666	298	612	1280	298	612	1280	126	287	1460	126	287	1947	19	25	35	19	25	35	616	1598	2397	616	1598	2397
30	180	388	581	180	456	683	309	630	1318	309	630	1318	134	320	1482	134	320	1976	19	25	35	19	25	35	659	1709	2564	659	1709	2564
31	186	398	596	186	468	701	320	648	1356	320	648	1356	142	355	1505	142	355	2007	20	27	37	20	27	37	706	1832	2748	706	1832	2748
32	192	408	610	192	480	718	331	666	1394	331	666	1394	150	388	1527	150	388	2036	20	27	37	20	27	37	755	1958	2937	755	1958	2937
33	198	418	626	198	492	736	342	684	1432	342	684	1432	158	423	1550	158	423	2067	21	28	39	21	28	39	808	2097	3146	808	2097	3146
34	204	428	641	204	504	754	353	702	1470	353	702	1470	166	456	1572	166	456	2096	22	29	41	22	29	41	864	2241	3362	864	2241	3362
35	210	439	655	210	516	771	364	720	1508	364	720	1508	174	491	1595	174	491	2127	22	29	41	22	29	41	925	2399	3599	925	2399	3599
36	216	449	671	216	528	789	375	738	1546	375	738	1546	182	525	1617	182	525	2156	23	31	43	23	31	43	990	2568	3852	990	2568	3852
37	222	459	685	222	540	806	386	756	1584	386	756	1584	190	559	1640	190	559	2187	23	31	43	23	31	43	1059	2745	4118	1059	2745	4118
38	228	469	700	228	552	824	397	774	1622	397	774	1622	198	593	1662	198	593	2216	24	32	44	24	32	44	1133	2939	4409	1133	2939	4409
39	234	479	716	234	564	842	408	792	1660	408	792	1660	206	627	1685	206	627	2247	25	33	46	25	33	46	1212	3144	4716	1212	3144	4716
40	240	490	730	240	576	859	419	810	1698	419	810	1698	215	661	1707	215	661	2276	25	33	46	25	33	46	1297	3365	5048	1297	3365	5048
41	246	500	745	246	588	877	430	828	1736	430	828	1736	225	696	1730	225	696	2307	26	35	48	26	35	48	1388	3600	5400	1388	3600	5400
42	252	510	760	252	600	894	441	846	1774	441	846	1774	234	729	1752	234	729	2336	26	35	48	26	35	48	1485	3852	5778	1485	3852	5778
43	258	520	775	258	612	912	452	864	1812	452	864	1812	243	764	1775	243	764	2367	27	36	50	27	36	50	1589	4121	6182	1589	4121	6182
44	264	530	791	264	624	930	463	882	1850	463	882	1850	253	797	1797	253	797	2396	28	37	52	28	37	52	1693	4409	6614	1693	4409	6614
45	270	541	805	270	636	947	474	900	1888	474	900	1888	262	832	1820	262	832	2427	28	37	52	28	37	52	1797	4718	7077	1797	4718	7077
46	276	551	820	276	648	965	485	918	1926	485	918	1926	271	867	1842	271	867	2456	29	39	54	29	39	54	1901	5051	7577	1901	5051	7577
47	282	561	835	282	660	982	496	936	1964	496	936	1964	281	900	1865	281	900	2487	29	39	54	29	39	54	2005	5402	8103	2005	5402	8103
48	288	571	850	288	672	1000	507	954	2002	507	954	2002	290	935	1887	290	935	2516	30	40	56	30	40	56	2109	5783	8675	2109	5783	8675
49	294	581	865	294	684	1018	518	972	2040	518	972	2040	299	968	1910	299	968	2547	31	41	57	31	41	57	2213	6186	9279	2213	6186	9279
50	300	592	880	300	696	1035	529	990	2078	529	990	2078	310	1003	1932	310	1003	2576	31	41	57	31	41	57	2317	6618	9927	2317	6618	9927
51	306	602	895	306	708	1053	540	1008	2116	540	1008	2116	321	1037	1955	321	1037	2607	32	43	59	32	43	59	2421	7080	10620	2421	7080	10620
52	312	612	910	312	720	1070	551	1026	2154	551	1026	2154	331	1071	1977	331	1071	2636	32	43	59	32	43	59	2525	7506	11259	2525	7506	11259
53	318	622	925	318	732	1088	562	1044	2192	562	1044	2192	342	1105	2000	342	1105	2667	33	44	61	33	44	61	2629	7956	11934	2629	7956	11934
54	324	632	940	324	744	1106	573	1062	2230	573	1062	2230	352	1139	2030	352	1139	2707	34	45	63	34	45	63	2733	8435	12653	2733	8435	12653
55	330	643	955	330	756	1123	584	1080	2268	584	1080	2268	363	1173	2075	363	1173	2767	34	45	63	34	45	63	2837	8942	13413	2837	8942	13413
56	336	653	970	336	768	1141	595	1098	2306	595	1098	2306	374	1208	2135	374	1208	2847	35	47	65	35	47	65	2941	9477	14216	2941	9477	14216
57	342	663	984	342	780	1158	606	1116	2344	606	1116	2344	384	1241	2222	384	1241	2962	35	47	65	35	47	65	3045	10044	15066	3045	10044	15066
58	348	673	1000	348	792	1176	617	1134	2382	617	1134	2382	395	1276	2308	395	1276	3077	36	48	67	36	48	67	3149	10647	15971	3149	10647	15971
59	354	683	1015	354	804	1194	628	1152	2420	628	1152	2420	406	1309	2394	406	1309	3192	37	49	68	37	49	68	3253	11286	16929	3253	11286	16929
60	360	694	1029	360	816	1211	639	1170	2458	639	1170	2458	418	1344	2480	418	1344	3307	37	49	68	37	49	68	3357	11964	17946	3357	11964	17946
61	366	704	1045	366	828	1229	650	1188	2496	650	1188	2496	430	1379	2567	430	1379	3422	38	51	70	38	51	70	3461	12680	19020	3461	12680	19020
62	372	714	1059	372	840	1246	661	1206	2534	661	1206	2534	442	1412	2653	442	1412	3537	38	51	70	38	51	70	3565	13442	20163	3565	13442	20163
63	378	724	1074	378	852	1264	672	1224	2572	672	1224	2572	454	1447	2739	454	1447	3652	39	52	72	39	52	72	3669	14249	21374	3669	14249	21374
64	384	734	1090	384	864	1282	683	1242	2610	683	1242	2610	466	1480	2825	466	1480	3767	39	52	72	39	52	72	3773	15104	22656	3773	15104	22656
65	390	745	1104	390	876	1299	694	1260	2648	694	1260	2648	477	1515	2912	477	1515	3882	40	53	74	40	53	74	3877	16010	24015	3877	16010	24015
66	396	755	1119	396	888	1317	705	1278	2686	705	1278	2686	489	1549	2998	489	1549	3997	41	55	76	41	55	76	3981	16916	25374	3981	16916	25374
67	402	765	1134	402	900	1334	716	1296	2724	716	1296	2724	501	1583	3084	501	1583	4112	41	55	76	41	55	76	4085	17822	26733	4085	17822	26733
68	408	775	1149	408	912	1352	727	1314	2762	727	1314	2762	513	1617	3170	513	1617	4227	42	56	78	42	56	78	4189	18728	28092	4189	18728	28092
69	414	785	1165	414	924	1370	738	1332	2800	738	1332	2800	525	1651	3257	525	1651	4342	43	57	80	43	57	80	4293	19634	29451	4293	19634	29451
70	420	796	1179	420	936	1387	749	1350	2838	749	1350	2838	539	1685	3343	539	1685	4457	43	57	80	43	57	80	4397	20540	30810	4397	20540	30810
71	426	806	1194	426	948	1405	760	1368	2876	760	1368	2876	552	1720	3429	552	1720	4572	44	59	81	44	59	81	4501	21446	32169	4501	21446	32169
72	432	816	1209	432	960	1422	771	1386	2914	771	1386	2914	565	1753	3515	565	1753	4687	44	59	81	44	59	81	4605	22352	33528	4605	22352	33528
73	438	826	1224	438	972	1440	782	1404	2952	782	1404	2952	579	1788	3602	579	1788	4802	45	60	83	45	60	83	4709	23258	34887	4709	23258	34887
74	444	836	1239	444	984	1458	793	1422	2990	793	1422	2990	592	1821	3688	592	1821	4917	46	61	85	46	61	85	4813	24164	36246	4813	24164	36246
75	450	847	1254	450	996	1475	804	1440	3028	804	1440	3028	605	1856	3774	605	1856	5032	46	61	85	46	61	85	4917	25070	37605	4917	25070	37605
76	456	857	1269	456	1008	1493	815	1458	3066	815	1458	3066	618	1891	3860	618	1891	5147	47	63	87	47	63	87	5021	25976	38964	5021	25976	38964
77	462	867	1284	462	1020	1510	826	1476	3104	826	1476	3104	632	1924	3947	632	1924	5262	47	63	87	47	63	87	5125	26882	40323	5125	26882	40323
78	468	877	1299	468	1032	1528	837	1494	3142	837	1494	3142	645	1959	4033	645	1959	5377	48	64	89	48	64	89	5229	27788	41682	5229	27788	41682
79	474	887	1314	474	1044	1546	848	1512	3180	848	1512	3180	658	1992	4119	658	1992	5492	49	65	91	49	65	91	5333	28694	43041	5333	28694	43041
80	480	898	1329	480	1056	1563	859	1530	3218	859	1530	3218	673	2027	4205	673	2027	5607	49	65	91	49	65	91	5437	29600	44400	5437	29600	44400
81	486	908	1344	486	1068	1581	870	1548	3256	870	1548	3256	688	2061	4292	688	2061	5722	50	67	93	50	67	93	5541	30506	45759	5541	30506	45759
82	492	918	1358	492	1080	1598	881	1566	3294	881	1566	3294	702	2095	4378	702	2095	5837	50	67	93	50	67	93	5645	31412	47118	5645	31412	47118
