overlay	Filename	version	Frames	Character	PreDraw	1ofN	Dir	Open	Beta	Xoffset	Yoffset	Height1	Height2	Height3	Height4	AnimRate	LoopWaitTime	Trans	InitRadius	Radius	Red	Green	Blue	NumDirections	LocalBlood
null	null	0	2	all	0	1	0	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
lightning	ShockHitSm	0	20	?	0	1	0	1	1	0	0	0	0	0	0	16	0	3	11	11	255	255	255	1	0
cast_resistfire	AuraResistFireFrontCast	0	11	Paladin	1	1	0	1	1	0	0	0	0	0	0	16	0	3	1	10	255	193	103	1	0
aura_resistfire	AuraResistFireFront	0	20	Paladin	1	1	0	1	1	0	0	0	0	0	0	16	0	3	6	6	255	193	103	1	0
cast_resistcold	AuraResistColdBackCast	0	11	Paladin	0	1	0	1	1	0	0	0	0	0	0	16	0	3	1	10	210	210	255	1	0
aura_resistcold	AuraResistColdBack	0	20	Paladin	1	1	0	1	1	0	0	0	0	0	0	16	0	3	6	6	210	210	255	1	0
cast_resistlight	AuraResistLightningBackCast	0	11	Paladin	0	1	0	1	1	0	0	0	0	0	0	16	0	3	1	10	255	255	200	1	0
aura_resistlight	AuraResistLightningBack	0	20	Paladin	1	1	0	1	1	0	0	0	0	0	0	16	0	3	6	6	255	255	200	1	0
cast_resistall	AuraResistAllCast	0	20	Paladin	1	1	0	0	0	0	0	0	0	0	0	16	0	3	1	10	211	148	255	1	0
aura_resistall_front	AuraResistAllFront	0	20	Paladin	0	1	0	0	0	0	0	0	0	0	0	16	0	3	6	6	211	148	255	1	0
aura_resistall_back	AuraResistAllBack	0	20	Paladin	1	1	0	0	0	0	0	0	0	0	0	16	0	3	6	6	211	148	255	1	0
aura_might_front	AuraMightFront	0	15	Paladin	0	1	0	1	1	4	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
aura_might_back	AuraMightBack	0	15	Paladin	1	1	0	1	1	4	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
aura_prayer_front	AuraPrayerFront	0	16	Paladin	0	1	0	1	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0
aura_prayer_back	AuraPrayerBack	0	16	Paladin	1	1	0	1	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0
aura_holyfire_front	AuraHolyFireFront	0	12	Paladin	0	1	0	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
aura_holyfire_back	AuraHolyFireBack	0	12	Paladin	1	1	0	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
hit_holyfire	AuraHolyFireHit	0	12	Paladin	0	1	0	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
target_holyfire	AuraHfireIndicate	0	19	Paladin	0	1	0	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
aura_thorns_front	AuraThornsFront	0	18	Paladin	0	1	0	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
aura_thorns_back	AuraThornsBack	0	18	Paladin	1	1	0	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
