skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Attack	0		attack	1	1																																																																																						1	1																		0		both		weap			tpot							A1	A1	A1				1		1	1								1											1									1					1		1				0	8	0	0	1					1			1																										1								8	128																																				0
Kick	1		kick	2	2																																																																																						0	0																		0		h2h	4											KK	KK	xx						1	1							1												1																				0	8	0	0									1																										1							1	8																																					0
Throw	2		throw	65	3																																																																																						2	2																		0		rng		thro										TH	TH	xx				1																						1														1		2				0	8	0	0	1								1																										1								8	128																																				0
Unsummon	3		unsummon	3	4																																																																																						3	0																		0		rng												SC	SC	xx						1						1														1									1											0	8	0	0	1	1							1																										1								8																																					0
Left Hand Throw	4		left hand throw	65	5																																																																																						2	2																		0		rng	1	thro										S4	S4	xx			1	1																						1														1		3				0	8	0	0	1								1																										1								8																																					0
Left Hand Swing	5		left hand swing	1	1																																																																																						4	1																		0		both	1	weap			tpot							S3	S3	S3			1	1		1	1																			1														1		4				0	8	0	0	1								1																										1								8																																					0
Magic Arrow	6	ama	magic arrow											magicarrow																																																																																		magicarrow													1	0	1	rng		miss										A1	A1	xx				1																						1	20													1						0	5	12	-1	1																																		1	10	9						8	128	1	1	1	1	1	1	1	1	1	1	1	1																							256	1000
Fire Arrow	7	ama	fire arrow	4										firearrow	1																																																																												11					firearrow													1	0		rng		miss										A1	A1	xx				1																						1	20													1		1				1	5	24	1	1																																12	damage synergy	1	10	9						8	128														fire	1	2	3	6	12	24	4	2	3	7	14	27	(skill('Exploding Arrow'.blvl)) * par8								256	1000
Inner Sight	8	ama	inner sight		6																34179		innersight	ln34	ln56	armorclass	-edmn																																																		amazon_eyeofzeus											cast_innersight																					1	3		none												SC	SC	xx					4												1						amazon_eyeofzeus	cast_innersight		1	20																			1	7	10	0	1																		40	base monster ac	25	monster ac/lvl	200	duration	100	duration per level	20	radius of effect	0	radius per level					1								8																40	25	45	60	80	100															256	1000
Critical Strike	9	ama	critical strike																																											criticalstrike		passive_critical_strike	dm12																																																												1	4		rng		spea	miss											xx				1																						1	20													1						0	8	0	0	1						1												5	min % to do double damage	80	max % to do double damage													1								8																																				256	1000
Jab	10	ama	jab	5	7																																																																									amazon_jab_1				weapon_1ht_1	weapon_2ht_1								12	16																	1	3		h2h		spea										SQ	A1	xx	1		1	1		1	1								1											1	20													1						1	6	8	1											ln34	dmg%											-15	Percent damage base	3	Percent damage per level									1	10	9						8	128																																			256	1000
Cold Arrow	11	ama	cold arrow	4										coldarrow	1																																																																												11					coldarrow													1	4		rng		miss										A1	A1	xx				1																						6	20													1		1				1	5	28	1	1																																12	damage synergy	1	10	9						7	128														cold	6	4	5	8	16	42	8	4	5	9	17	44	(skill('Ice Arrow'.blvl)) * par8	100	30	30	30				384	3000
Multiple Shot	12	ama	multiple shot	4	8										1		multipleshotarrow	multipleshotbolt																																																																									11	17					multipleshotarrow	multipleshotbolt											1	7		rng		miss										A1	A1	xx				1																						6	20					Magic Arrow								1		1				1	8	4	1	1										"min(24,ln12)"	# missiles	par3	activation frame	2	triggered			2	number of arrows to fire	1	additional arrows per level	1	Acivation frame of arrows.											1								8	96																																			384	3000
