Handle	Index	Song	Day Ambience	Night Ambience	Day Event	Night Event	Event Delay	Indoors	Material 1	Material 2	EAX Environ	EAX Env Size	EAX Env Diff	EAX Room Vol	EAX Room HF	EAX Decay Time	EAX Decay HF	EAX Reflect	EAX Reflect Delay	EAX Reverb	EAX Rev Delay	EAX Room Roll	EAX Air Absorb
ESOUNDENVIRON_NONE	0	0	0	0	0	0	250	0	0	0	0	0	0	-10000	-10000	0	0	0	0	0	0	0	0
ESOUNDENVIRON_TOWN_1	1	4673	70	71	0	0	250	0	1	5	0	0	0	-10000	-10000	0	0	0	0	0	0	0	0
ESOUNDENVIRON_WILDERNESS	2	4679	70	71	192	197	250	0	1	5	17	100000	270	-2100	-2500	1490	210	-2780	226	-1434	100	0	-5000
ESOUNDENVIRON_TRISTRAM	3	4677	70	71	192	197	250	0	1	5	17	100000	270	-2100	-2500	1490	210	-2780	226	-1434	100	0	-5000
ESOUNDENVIRON_CAVE	4	4657	54	54	87	87	200	1	1	0	5	11600	1000	-1000	-300	2700	640	-711	12	83	17	0	-5000
ESOUNDENVIRON_CRYPT	5	4658	55	55	95	95	500	1	2	0	5	11600	1000	-1240	-300	1700	640	-711	12	83	17	0	-5000
ESOUNDENVIRON_MONASTERY	6	4667	63	63	157	157	250	0	1	3	7	19600	1000	-1650	-500	3300	700	-1230	20	-2	29	0	-5000
ESOUNDENVIRON_COURTYARD	7	4667	63	63	157	157	250	0	1	3	7	19600	1000	-1650	-500	3300	700	-1230	20	-2	29	0	-5000
ESOUNDENVIRON_BARRACKS	8	4667	52	52	82	82	800	1	1	0	6	21600	1000	-1540	-476	2600	590	-789	20	-289	30	0	-5000
ESOUNDENVIRON_CATHEDRAL	9	4667	53	53	77	77	500	1	2	0	7	19600	1000	-1240	-500	4750	700	-1230	20	-2	29	0	-5000
ESOUNDENVIRON_CATACOMBS	10	4667	52	52	82	82	800	1	2	0	5	11600	1000	-1600	-300	2310	640	-711	12	83	17	0	-5000
ESOUNDENVIRON_ANDARIEL_LAIR	11	4667	52	52	82	82	250	1	2	0	6	11600	1000	-1540	-476	2600	590	-789	20	-289	30	0	-5000
ESOUNDENVIRON_TOWN_2	12	4674	56	57	172	177	250	0	3	4	0	0	0	-10000	-10000	0	0	0	0	0	0	0	0
ESOUNDENVIRON_DESERT	13	4659	56	57	100	100	250	0	4	3	0	0	0	-10000	-10000	0	0	0	0	0	0	0	0
ESOUNDENVIRON_VALLEY_OF_KINGS	14	4678	56	57	100	100	250	0	4	3	0	0	0	-10000	-10000	0	0	0	0	0	0	0	0
ESOUNDENVIRON_SEWERS	15	4670	65	65	87	87	150	1	2	0	13	13500	1000	-1650	-237	1400	790	-1214	13	395	20	0	-5000
ESOUNDENVIRON_HAREM	16	4661	58	58	110	110	750	1	2	0	9	36200	1000	-1700	-698	4000	330	-1166	20	16	30	0	-5000
ESOUNDENVIRON_CORRUPT_HAREM	17	4661	58	58	110	110	750	1	2	0	9	36200	1000	-1700	-698	4000	330	-1166	20	16	30	0	-5000
ESOUNDENVIRON_BASEMENT	18	4661	52	52	110	110	750	1	2	0	10	50300	1000	-1592	-1000	3300	230	-602	20	198	30	0	-5000
ESOUNDENVIRON_TOMBS	19	4672	54	54	138	138	500	1	2	4	9	36200	1000	-1356	-698	3400	330	-1166	20	16	56	0	-5000
ESOUNDENVIRON_MAGGOT_LAIR	20	4665	67	67	77	77	500	1	1	0	13	13500	1000	-1500	-237	1800	790	-1214	13	395	20	0	-5000
ESOUNDENVIRON_DURIEL_LAIR	21	4672	67	67	77	77	500	1	2	0	13	13500	1000	-1500	-237	2000	790	-1214	13	395	20	0	-5000
ESOUNDENVIRON_ARCANE	22	4669	62	62	0	0	250	0	2	0	7	19600	1000	-2091	-500	4000	700	-1230	20	-2	29	0	-5000
ESOUNDENVIRON_TOWN_3	23	4675	68	69	182	187	500	0	1	0	17	100000	270	-2100	-2500	1490	210	-2780	226	-1434	100	0	-5000
ESOUNDENVIRON_JUNGLE	24	4662	59	60	118	123	300	0	1	0	17	100000	270	-2100	-2500	1490	210	-2780	226	-1434	100	0	-5000
ESOUNDENVIRON_KURAST	25	4663	68	60	128	133	325	0	1	0	17	100000	270	-2175	-2500	1800	210	-2780	226	-1434	100	0	-5000
ESOUNDENVIRON_KURAST_SEWER	26	4664	54	54	95	95	500	1	2	0	5	11600	1000	-1200	-300	2700	640	-711	12	83	17	0	-5000
ESOUNDENVIRON_DUNGEON	27	4671	65	65	138	138	250	1	2	0	5	11600	1000	-1240	-300	1700	640	-711	12	83	17	0	-5000
ESOUNDENVIRON_TEMPLE	28	4664	53	53	162	162	250	0	2	0	9	36200	1000	-1700	-698	4100	1167	-1166	20	16	30	0	-5000
ESOUNDENVIRON_SPIDER_LAIR	29	4671	54	54	72	72	250	1	1	0	5	11600	1000	-1600	-300	2310	330	-711	12	83	17	0	-5000
ESOUNDENVIRON_MEPHISTO_LAIR	30	4664	52	52	162	162	250	1	2	0	7	19600	1000	-1400	-500	4750	700	-1230	20	-2	29	0	-5000
ESOUNDENVIRON_TOWN_4	31	4676	62	62	0	0	500	0	1	0	5	11600	1000	-1600	-300	2310	640	-711	12	83	17	0	-5000
ESOUNDENVIRON_MESA	32	4666	62	62	82	82	300	0	1	0	12	1800	1000	-2300	-300	4700	590	-1217	7	441	11	0	-5000
ESOUNDENVIRON_LAVA	33	4666	61	61	143	143	300	0	1	0	12	1800	1000	-2300	-300	4700	590	-1217	7	441	11	0	-5000
ESOUNDENVIRON_DIABLO_LAIR	34	4660	61	61	143	143	300	0	1	0	12	1800	1000	-2100	-300	4700	590	-1217	7	441	11	0	-5000
ESOUNDENVIRON_GUILD	35	4679	70	71	0	0	250	0	1	5	0	0	0	-10000	-10000	0	0	0	0	0	0	0	0
ESOUNDENVIRON_XTOWN	36	4684	70	71	0	0	250	0	1	3	0	0	0	-10000	-10000	0	0	0	0	0	0	0	0
ESOUNDENVIRON_BARRICADE	37	4682	70	71	72	77	250	0	1	5	17	100000	270	-2100	-2500	1490	210	-2780	226	-1434	100	0	-5000
ESOUNDENVIRON_BARRICADESNOW	38	4682	70	71	72	77	250	0	1	6	17	100000	270	-2100	-2500	1490	210	-2780	226	-1434	100	0	-5000
ESOUNDENVIRON_ICECAVE1	39	4681	54	54	87	138	250	1	2	5	5	11600	1000	-1600	-300	2310	330	-711	12	83	17	0	-5000
ESOUNDENVIRON_ICECAVE2	40	4681	54	54	138	87	250	1	2	5	5	11600	1000	-1600	-300	2310	330	-711	12	83	17	0	-5000
ESOUNDENVIRON_ICECAVE3	41	4681	54	54	87	138	250	1	2	5	5	11600	1000	-1600	-300	2310	330	-711	12	83	17	0	-5000
ESOUNDENVIRON_MOUNTAINTOP	42	4682	63	63	72	77	250	0	3	6	17	100000	270	-2100	-2500	1490	210	-2780	226	-1434	100	0	-5000
ESOUNDENVIRON_XTEMPLEENTRANCE	43	4682	63	63	77	72	500	0	1	6	17	100000	270	-2100	-2500	1490	210	-2780	226	-1434	100	0	-5000
ESOUNDENVIRON_XTEMPLE	44	4683	52	52	162	162	250	1	1	2	7	19600	1000	-1400	-500	4750	700	-1230	20	-2	29	0	-5000
ESOUNDENVIRON_XTEMPLEBOSS	45	4683	52	52	72	72	250	1	1	2	7	19600	1000	-1400	-500	4750	700	-1230	20	-2	29	0	-5000
ESOUNDENVIRON_XHELL	46	4666	62	62	143	143	300	1	1	0	12	1800	1000	-2300	-300	4700	590	-1217	7	441	11	0	-5000
ESOUNDENVIRON_BAALTEMPLE	47	4680	52	52	82	82	250	1	2	5	7	19600	1000	-1400	-500	4750	700	-1230	20	-2	29	0	-5000
ESOUNDENVIRON_BAALTHRONE	48	4680	52	52	82	82	250	1	2	5	7	19600	1000	-1400	-500	4750	700	-1230	20	-2	29	0	-5000
ESOUNDENVIRON_WORLDSTONE	49	4680	53	53	82	82	250	1	2	0	7	19600	1000	-1240	-500	4750	700	-1230	20	-2	29	0	-5000
