Sound	Index	FileName	Volume	Group Size	Loop	Fade In	Fade Out	Defer Inst	Stop Inst	Duration	Compound	Reverb	Falloff	Cache	Async Only	Priority	Stream	Stereo	Tracking	Solo	Music Vol	Block 1	Block 2	Block 3
	0	none.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
cursor_pass	1	cursor\pass.wav	255	0	0	0	0	0	1	0	0	0	1	1	0	100	0	0	0	0	0	-1	-1	-1
cursor_select	2	cursor\select.wav	255	0	0	0	0	0	1	0	0	0	1	1	0	255	0	0	0	0	0	-1	-1	-1
cursor_error	3	cursor\windowopen.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
cursor_button_click	4	cursor\button.wav	255	0	0	0	0	0	1	0	0	0	1	1	0	100	0	0	0	0	0	-1	-1	-1
cursor_point_drop	5	cursor\pointdrop.wav	220	0	0	0	0	0	1	0	0	0	1	1	0	255	0	0	0	0	0	-1	-1	-1
cursor_switch	6	cursor\windowopen.wav	220	0	0	0	0	1	0	0	0	0	1	1	0	100	0	0	0	0	0	-1	-1	-1
cursor_level_up	7	cursor\levelup.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
cursor_level_up_hireling	8	cursor\leveluphireling.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
cursor_durability_break	9	cursor\itembroken.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
cursor_convert_ready	10	cursor\convertready.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
cursor_convert_item	11	cursor\convert.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
cursor_identify_ready	12	cursor\identifyready.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
cursor_identify_item	13	cursor\identify.wav	255	0	0	0	0	0	0	0	4	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
cursor_questdone	14	cursor\questdone.wav	255	0	0	0	0	0	0	0	12	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
cursor_repair_item	15	cursor\repair.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
cursor_hostile	16	cursor\hostile.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
cursor_amazon_select	17	cursor\intro\amazon select.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
cursor_amazon_deselect	18	cursor\intro\amazon deselect.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
cursor_barbarian_select	19	cursor\intro\barbarian select.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
cursor_barbarian_deselect	20	cursor\intro\barbarian deselect.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
cursor_necromancer_select	21	cursor\intro\necromancer select.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
cursor_necromancer_deselect	22	cursor\intro\necromancer deselect.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
cursor_paladin_select	23	cursor\intro\paladin select.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
cursor_paladin_deselect	24	cursor\intro\paladin deselect.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
cursor_sorceress_select	25	cursor\intro\sorceress select.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
cursor_sorceress_deselect	26	cursor\intro\sorceress deselect.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
quest_anyasteam	27	quest\anyasteam.wav	255	0	0	0	0	0	0	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
quest_anyaicevent	28	quest\anyaicevent.wav	255	0	1	8	16	0	0	0	-1	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
quest_ancients_cloud	29	quest\ball1.wav	255	0	1	8	12	0	0	0	24	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
quest_ancients_statue	30	quest\ancientstatue.wav	255	0	0	0	0	0	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
quest_hellforge_flash_1	31	quest\pieceflash1.wav	80	2	0	0	0	0	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
quest_hellforge_flash_2	32	quest\pieceflash2.wav	80	0	0	0	0	0	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
quest_hellforge_flash_3	33	none.wav	0	0	0	0	0	0	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
quest_hellforge_place	34	object\hellforgeplace.wav	255	0	0	0	0	0	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
quest_hellforge_smash	35	object\hellforgesmash.wav	255	0	0	0	0	0	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
quest_hellforge_soul_1	36	quest\soulrise1.wav	224	3	0	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
quest_hellforge_soul_2	37	quest\soulrise2.wav	224	0	0	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
quest_hellforge_soul_3	38	quest\soulrise3.wav	224	0	0	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
quest_horadric_staff_spin	39	quest\staffloop.wav	255	0	1	3	6	1	0	0	0	0	1	0	0	100	0	0	1	0	0	25280	-1	-1
quest_horadric_staff_light	40	quest\spotlight.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	100	0	0	1	0	0	-1	-1	-1
quest_nihlathakdeath	41	quest\nihlathakdeath.wav	255	0	0	0	0	0	0	0	-1	0	1	0	0	100	0	0	1	0	0	-1	-1	-1
quest_radament_holybolt_1	42	skill\paladin\holybolt1.wav	224	3	1	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	26537	-1	-1
quest_radament_holybolt_2	43	skill\paladin\holybolt2.wav	224	0	1	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	27948	-1	-1
quest_radament_holybolt_3	44	skill\paladin\holybolt3.wav	224	0	1	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	25046	-1	-1
quest_raiders_light_shaft	45	monster\scimitar\loop.wav	255	0	1	6	6	1	0	0	-1	0	1	0	0	100	0	0	1	0	0	-1	-1	-1
quest_tainted_sun_flash_1	46	quest\flash1.wav	255	3	0	0	0	1	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
quest_tainted_sun_flash_2	47	quest\flash2.wav	255	0	0	0	0	1	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
quest_tainted_sun_flash_3	48	quest\flash3.wav	255	0	0	0	0	1	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
quest_tainted_sun_ball_1	49	quest\ball1.wav	255	3	1	4	12	0	0	0	24	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
quest_tainted_sun_ball_2	50	quest\ball2.wav	255	0	1	4	12	0	0	0	24	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
quest_tainted_sun_ball_3	51	quest\ball3.wav	255	0	1	4	12	0	0	0	24	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
scene_catacombs	52	ambient\scene\catacombs.wav	150	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
scene_cathedral	53	ambient\scene\cathedral.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
scene_cave	54	ambient\scene\cave.wav	220	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
scene_crypt	55	ambient\scene\crypt.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
scene_desert_day	56	ambient\scene\desertday.wav	150	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
scene_desert_night	57	ambient\scene\desertnight.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
scene_harem	58	ambient\scene\harem.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
scene_jungle_day	59	ambient\scene\jungleday.wav	200	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
scene_jungle_night	60	ambient\scene\junglenight.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
scene_lava	61	ambient\scene\lava.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
scene_mesa	62	ambient\scene\hell1.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
scene_monastery	63	ambient\scene\creepywind.wav	200	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
scene_rain	64	ambient\scene\rain2.wav	200	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
scene_sewer	65	ambient\scene\sewer.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
scene_tavern_interior	66	ambient\scene\cathedral.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
scene_tomb	67	ambient\scene\tomb.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
scene_town_3_day	68	ambient\scene\town3day.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
scene_town_3_night	69	ambient\scene\town3night.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
scene_wilderness_day	70	ambient\scene\wilderness day 2.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
scene_wilderness_night	71	ambient\scene\wilderness night.wav	220	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
event_arcane_1	72	ambient\event\wind6.wav	255	4	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_arcane_2	73	ambient\event\wind7.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_arcane_3	74	ambient\event\wind8.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_arcane_4	75	ambient\event\wind9.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_arcane_5	76	none.wav	0	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_basement_1	77	ambient\event\wind1.wav	255	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_basement_2	78	ambient\event\wind2.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_basement_3	79	ambient\event\wind3.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_basement_4	80	ambient\event\wind4.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_basement_5	81	ambient\event\wind5.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_catacombs_1	82	ambient\event\scream1.wav	180	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_catacombs_2	83	ambient\event\scream2.wav	200	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_catacombs_3	84	ambient\event\scream3.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_catacombs_4	85	ambient\event\scream4.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_catacombs_5	86	ambient\event\scream5.wav	200	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_cave_1	87	ambient\event\drip1.wav	180	8	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_cave_2	88	ambient\event\drip2.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_cave_3	89	ambient\event\drip3.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_cave_4	90	ambient\event\drip4.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_cave_5	91	ambient\event\drip5.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_cave_6	92	ambient\event\drip6.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_cave_7	93	ambient\event\drip7.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_cave_8	94	ambient\event\drip8.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_crypt_1	95	ambient\event\thump6.wav	180	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_crypt_2	96	ambient\event\thump2.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_crypt_3	97	ambient\event\thump3.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_crypt_4	98	ambient\event\thump4.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_crypt_5	99	ambient\event\thump5.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_desert_day_1	100	ambient\event\desertinsect6.wav	32	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_desert_day_2	101	ambient\event\desertinsect5.wav	32	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_desert_day_3	102	ambient\event\desertinsect7.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_desert_day_4	103	ambient\event\desertinsect3.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_desert_day_5	104	ambient\event\desertinsect2.wav	32	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_desert_night_1	105	ambient\event\desertbirdie1.wav	120	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_desert_night_2	106	ambient\event\desertinsect1.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_desert_night_3	107	ambient\event\desertinsect4.wav	32	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_desert_night_4	108	ambient\event\desertinsect3.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_desert_night_5	109	ambient\event\desertinsect7.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_harem_1	110	ambient\event\thump6.wav	180	8	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_harem_2	111	ambient\event\thump2.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_harem_3	112	ambient\event\thump3.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_harem_4	113	ambient\event\thump4.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_harem_5	114	ambient\event\thump5.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
event_harem_6	115	ambient\event\thump1.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
