Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin
MaxLvl	99	99	99	99	99	99	99
0	0	0	0	0	0	0	0
1	500	500	500	500	500	500	500
2	1500	1500	1500	1500	1500	1500	1500
3	3750	3750	3750	3750	3750	3750	3750
4	7875	7875	7875	7875	7875	7875	7875
5	14175	14175	14175	14175	14175	14175	14175
6	22680	22680	22680	22680	22680	22680	22680
7	32886	32886	32886	32886	32886	32886	32886
8	44396	44396	44396	44396	44396	44396	44396
9	57715	57715	57715	57715	57715	57715	57715
10	72144	72144	72144	72144	72144	72144	72144
11	90180	90180	90180	90180	90180	90180	90180
12	112725	112725	112725	112725	112725	112725	112725
13	140906	140906	140906	140906	140906	140906	140906
14	176132	176132	176132	176132	176132	176132	176132
15	220165	220165	220165	220165	220165	220165	220165
16	275207	275207	275207	275207	275207	275207	275207
17	344008	344008	344008	344008	344008	344008	344008
18	430010	430010	430010	430010	430010	430010	430010
19	537513	537513	537513	537513	537513	537513	537513
20	671891	671891	671891	671891	671891	671891	671891
21	839864	839864	839864	839864	839864	839864	839864
22	1049830	1049830	1049830	1049830	1049830	1049830	1049830
23	1312287	1312287	1312287	1312287	1312287	1312287	1312287
24	1640359	1640359	1640359	1640359	1640359	1640359	1640359
25	2050449	2050449	2050449	2050449	2050449	2050449	2050449
26	2563061	2563061	2563061	2563061	2563061	2563061	2563061
27	3203826	3203826	3203826	3203826	3203826	3203826	3203826
28	3902260	3902260	3902260	3902260	3902260	3902260	3902260
29	4663553	4663553	4663553	4663553	4663553	4663553	4663553
30	5493363	5493363	5493363	5493363	5493363	5493363	5493363
31	6397855	6397855	6397855	6397855	6397855	6397855	6397855
32	7383752	7383752	7383752	7383752	7383752	7383752	7383752
33	8458379	8458379	8458379	8458379	8458379	8458379	8458379
34	9629723	9629723	9629723	9629723	9629723	9629723	9629723
35	10906488	10906488	10906488	10906488	10906488	10906488	10906488
36	12298162	12298162	12298162	12298162	12298162	12298162	12298162
37	13815086	13815086	13815086	13815086	13815086	13815086	13815086
38	15468534	15468534	15468534	15468534	15468534	15468534	15468534
39	17270791	17270791	17270791	17270791	17270791	17270791	17270791
40	19235252	19235252	19235252	19235252	19235252	19235252	19235252
41	21376515	21376515	21376515	21376515	21376515	21376515	21376515
42	23710491	23710491	23710491	23710491	23710491	23710491	23710491
43	26254525	26254525	26254525	26254525	26254525	26254525	26254525
44	29027522	29027522	29027522	29027522	29027522	29027522	29027522
45	32050088	32050088	32050088	32050088	32050088	32050088	32050088
46	35344686	35344686	35344686	35344686	35344686	35344686	35344686
47	38935798	38935798	38935798	38935798	38935798	38935798	38935798
48	42850109	42850109	42850109	42850109	42850109	42850109	42850109
49	47116709	47116709	47116709	47116709	47116709	47116709	47116709
50	51767302	51767302	51767302	51767302	51767302	51767302	51767302
51	56836449	56836449	56836449	56836449	56836449	56836449	56836449
52	62361819	62361819	62361819	62361819	62361819	62361819	62361819
53	68384473	68384473	68384473	68384473	68384473	68384473	68384473
54	74949165	74949165	74949165	74949165	74949165	74949165	74949165
55	82104680	82104680	82104680	82104680	82104680	82104680	82104680
56	89904191	89904191	89904191	89904191	89904191	89904191	89904191
57	98405658	98405658	98405658	98405658	98405658	98405658	98405658
58	107672256	107672256	107672256	107672256	107672256	107672256	107672256
59	117772849	117772849	117772849	117772849	117772849	117772849	117772849
60	128782495	128782495	128782495	128782495	128782495	128782495	128782495
61	140783010	140783010	140783010	140783010	140783010	140783010	140783010
62	153863570	153863570	153863570	153863570	153863570	153863570	153863570
63	168121381	168121381	168121381	168121381	168121381	168121381	168121381
64	183662396	183662396	183662396	183662396	183662396	183662396	183662396
65	200602101	200602101	200602101	200602101	200602101	200602101	200602101
66	219066380	219066380	219066380	219066380	219066380	219066380	219066380
67	239192444	239192444	239192444	239192444	239192444	239192444	239192444
68	261129853	261129853	261129853	261129853	261129853	261129853	261129853
