Cutthroat1	Bartuc's Cut-Throat
ModStr5d	Maximum Stamina
Mauler	Mauler
StrSkill41	 damage
D2bnetHelp13	/whisper <*accountname>, /w <*accountname>
D2bnetHelp13b	/msg <*accountname>, /m <*accountname>
D2bnetHelp15	/squelch <*accountname>
D2bnetHelp15b	/ignore <*accountname>
D2bnetHelp16	/unsquelch <*accountname>
D2bnetHelp16b	/unignore <*accountname>
D2bnetHelp21	/ban <*accountname>
D2bnetHelp23	/designate <*accountname>
D2bnetHelp24	/kick <*accountname>
D2bnetHelp26	/whois <*accountname>, /where <*accountname>
D2bnetHelp26b	/whereis <*accountname>
D2bnetHelp32	/stats <*accountname> <programID>
x	HELL
x	NIGHTMARE
x	NORMAL
x	SELECT DIFFICULTY
ModStr6e	Slower Stamina Drain
xhm	Winged Helm
Hsarus' Defense	Hsarus' Defense
strModEnhancedDamage	Enhanced Damage}
strModAllResistances	All Resistances +%d
strModAllSkillLevels	+%d to All Skill Levels
strModFireDamage	+%d fire damage
strModFireDamageRange	Adds %d-%d fire damage
strModColdDamage	+%d cold damage
strModColdDamageRange	Adds %d-%d cold damage
strModLightningDamage	+%d lightning damage
strModLightningDamageRange	Adds %d-%d lightning damage
strModMagicDamage	+%d magic damage
strModMagicDamageRange	Adds %d-%d magic damage
strModPoisonDamage	+%d poison damage over %d seconds
strModPoisonDamageRange	Adds %d-%d poison damage over %d seconds
strModMinDamage	+%d damage
strModMinDamageRange	Adds %d-%d damage
strModEnhancedDamage	Enhanced damage
ModStre9j	Fire Damage Reduced by
ModStre9k	Cold Damage Reduced by
ModStre9l	Lightning Damage Reduced by
ModStre9m	Poison Damage Reduced by
ModStre9n	Absorbs Magic Damage
ModStre9o	Absorbs Fire Damage
ModStre9p	Absorbs Cold Damage
ModStre9q	Absorbs Lightning Damage
ModStre9r	Absorbs Poison Damage
of the Wraith	of the Wraith
of Equilibrium	of Equilibrium
Valkyrie's	Valkyrie's
Maiden's	Maiden's
Blank	Void
strEskilllighttoattack	 to your attack
StrSklTabItem1	+%d to Javelin and Spear Skills
StrSklTabItem2	+%d to Passive and Magic Skills
StrSklTabItem3	+%d to Bow and Crossbow Skills
StrSklTabItem4	+%d to Defensive Auras
StrSklTabItem5	+%d to Offensive Auras
StrSklTabItem6	+%d to Combat Skills
StrSklTabItem6	+%d to Summoning Skills
StrSklTabItem7	+%d to Poison and Bone Skills
StrSklTabItem8	+%d to Curses
StrSklTabItem10	+%d to Warcries
StrSklTabItem11	+%d to Combat Skills
StrSklTabItem12	+%d to Masteries
StrSklTabItem13	+%d to Cold Skills
StrSklTabItem14	+%d to Lightning Skills
StrSklTabItem15	+%d to Fire Skills
StrSklTabItem16	+%d to Summoning Skills
StrSklTabItem17	+%d to Shape Shifting Skills
StrSklTabItem18	+%d to Elemental Skills
StrSklTabItem19	+%d to Traps
StrSklTabItem20	+%d to Shadow Disciplines
StrSklTabItem21	+%d to Martial Arts
x	The character '%s' has not been used for over 3 months and has expired.
upgraderestrictEx	No Magic, Socketed, Rare, Unique, or Set Items. No Jewelry.
UndeadDescriptX	Undead
DemonID	Demon
strScaryMonDescA	
strScaryMonDescB	
strScaryMonDesc1	Immune to Fire
strScaryMonDesc2	Immune to Cold
strScaryMonDesc3	Immune to Lightning
