Act	Type	Id	Description	Objects.txt_ID	Monstats.txt_ID	Direction	Base	Token	Mode	Class	HD	TR	LG	RA	LA	RH	LH	SH	S1	S2	S3	S4	S5	S6	S7	S8	Colormap	Index	*eol
1	1	0	Gheed				Data\Global\Monsters	GH	NU	HTH		LIT																	0
1	1	1	# Deckard Cain				Data\Global\Monsters	DC	NU	HTH		LIT																	0
1	1	2	Akara				Data\Global\Monsters	PS	NU	HTH		LIT																	0
1	1	3	Chiken			6	Data\Global\Monsters	CK	NU	HTH		LIT																	0
1	1	4	Rogue			7	Data\Global\Monsters	RG	NU	HTH	LIT	LIT		LIT	LIT		LBW		LIT	LIT									0
1	1	5	Kashya				Data\Global\Monsters	RC	NU	HTH		LIT																	0
1	1	6	# Cow			7	Data\Global\Monsters	CW	NU	HTH		LIT																	0
1	1	7	Warriv				Data\Global\Monsters	WA	NU	HTH		LIT																	0
1	1	8	Charsi				Data\Global\Monsters	CI	NU	HTH		LIT																	0
1	1	9	Andariel				Data\Global\Monsters	AN	NU	HTH		LIT																	0
1	1	10	Fallens				Data\Global\Monsters	FA	NU	HTH		LIT				CLB		BUC	LIT										0
1	1	11	Fallen shaman + fallens				Data\Global\Monsters	FS	NU	HTH		LIT																	0
1	1	12	Blood Raven			7	Data\Global\Monsters	CR	NU	BOW	BRV	HVY	BRV	HVY	HVY	LIT	LBB		HVY	HVY							Data\Global\Monsters\CR\COF\Palshift.dat	3	0
1	1	13	Cow			1	Data\Global\Monsters	CW	NU	HTH		LIT																	0
1	1	14	# Camel			7	Data\Global\Monsters	CM	NU	HTH		LIT																	0
1	1	15	Random Uniques Monsters with minions																										0
1	1	16	# ?																										0
1	1	17	?																										0
1	1	18	# ?																										0
1	1	19	Champion Fallen shaman + fallens			7	Data\Global\Monsters	FS	NU	HTH		LIT															Data\Global\Monsters\RandTransforms.dat	18	0
1	1	20	# Flavie			1	Data\Global\Monsters	RG	NU	HTH	LIT	LIT		LIT	LIT		LBW		LIT	LIT									0
1	1	21	# Rogue			6	Data\Global\Monsters	RG	NU	HTH	LIT	LIT		LIT	LIT		LBW		LIT	LIT									0
1	1	22	# Rogue			0	Data\Global\Monsters	RG	NU	HTH	LIT	LIT		LIT	LIT		LBW		LIT	LIT									0
1	1	23	Gargoyle Trap			3	Data\Global\Monsters	GT	A1	HTH		LIT																	0
1	1	24	?																										0
1	1	25	# ?																										0
1	1	26	# 3 fallens			7	Data\Global\Monsters	FA	NU	HTH		LIT				AXE		BUC	MED										0
1	1	27	Fallen shaman			1	Data\Global\Monsters	FS	NU	HTH		LIT																	0
1	1	28	"a Trap, Charged Bolt"																										0
1	1	29	"a Trap, Arrow"																										0
1	1	30	?																										0
1	1	31	?																										0
1	1	32	?																										0
1	1	33	?																										0
1	1	34	Bishibosh			2	Data\Global\Monsters	FS	NU	HTH		LIT															Data\Global\Monsters\RandTransforms.dat	16	0
1	1	35	Bonebraker			3	Data\Global\Monsters	SK	NU	1HS	HVY	LIT	MED	LIT	LIT	SCM			MED	MED							Data\Global\Monsters\RandTransforms.dat	3	0
1	1	36	Coldcrow			7	Data\Global\Monsters	CR	NU	BOW	HVY	LIT	LIT	LIT	LIT	LIT	LBB		LIT	LIT							Data\Global\Monsters\RandTransforms.dat	4	0
1	1	37	Rakanishu			7	Data\Global\Monsters	FA	NU	HTH		LIT				AXE		TCH	LIT								Data\Global\Monsters\RandTransforms.dat	19	0
1	1	38	Treehead Woodfist			1	Data\Global\Monsters	YE	NU	HTH		LIT															Data\Global\Monsters\RandTransforms.dat	9	0
